State,PublicNo,PubPercent,PrivateNo,PrivatePercent,Year
California,NA,NA,NA,NA,2009
Minnesota,NA,NA,NA,NA,2009
Montana,216,2,41,6.5,2009
North Dakota,0,0,0,0,2009
Washington,192,0.3,17,0.3,2009
Wisconsin,2,0.1,NA,NA,2009
California,NA,NA,NA,NA,2010
Minnesota,0,0,0,0,2010
Montana,218,1.9,44,8.1,2010
North Dakota,1,0.2,0,0,2010
Washington,144,0.2,13,0.2,2010
Wisconsin,2,0.1,NA,NA,2010
California,NA,NA,NA,NA,2011
Minnesota,NA,NA,NA,NA,2011
Montana,293,2.5,54,10.4,2011
North Dakota,14,0.2,3,0.6,2011
Washington,154,0.2,10,0.2,2011
Wisconsin,2,0.2,0,0,2011
