Category,Outbreak,Location,Lat,Long,Date,Cases,Fatalities,Impact Scale,Source Citation,Source
Polio,Polio,Afghanistan,33.4131,68.09326,1/2010-12/2010,25,,Epd,"CDC. ""Progress Toward Poliomyelitis Eradication — Afghanistan and Pakistan, January 2011–August 2012."" Morbidity and Mortality Weekly Report. October 5, 2012.",http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6139a4.htm?s_cid=mm6139a4_e
Polio,Polio,Afghanistan,33.4131,68.09326,1/2011-12/2011,80,,Epd,"Global Polio Eradication Initative. ""Case breakdown by country."" July, 2012.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
Polio,Polio,Afghanistan,32.54681,64.07227,1/2012-11/2012,37,,2nd,"Global Polio Eradication Initative. ""Case
breakdown by country."" January 9, 2013.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
Polio,sabin-like type 2 polio,Afghanistan (Kandahar),28.31405,65.2478,12/2012,2,,Clst,"Wasif, Sehrish. ""New Polio Strain from Pakistan Hits Afghanistan."" The Express Tribune. December 2, 2012.",http://tribune.com.pk/story/473980/new-polio-strain-from-pakistan-hits-afghanistan/
Polio,Polio,Afghanistan,33.65121,64.07227,1/2013-12/2013,14,,Epd,"Global Polio Eradication Initiative. ""Polio this week - as of 29 January 2014."" January 29, 2014.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
Whooping Cough,Whooping Cough,Afghanistan (Badkhshan),36.73477,70.812,12/2012,350,12,Clst,"Pakistan News Service, ""Whooping cough kills 12 children,"" December 29, 2012.",http://paktribune.com/news/Whooping-cough-kills-12-children-256076.html
Measles,Measles,Afghanistan (Ghor),35.16713,63.76954,2/2012,6000,20,Epd,"Los Angeles Times. ""Measles outbreak kills at least 20 Afghan children."" February 21, 2012.",http://latimesblogs.latimes.com/world_now/2012/02/measles-outbreak-kills-at-least-20-afghan-children.html
Measles,Measles,Afghanistan,33.92513,66.26953,1/2011-12/2011,3013,,Epd,"World Health Organization, ""WHO: Measles deaths decline, but elimination progress stalls in some regions,"" January 17, 2013.",http://www.who.int/mediacentre/news/notes/2013/measles_20130117/en/
Polio,Polio,Afghanistan (Laghman province),34.68977,70.14558,1/2014,1,,Isl,"Global Polio Eradication Initiative. ""Polio this week - as of 29 January 2014."" January 29, 2014.",http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
Polio,Polio,Afghanistan (Kabul),34.52846,69.1717,2/2014,1,,Isl,"Loyn, David. ""Afghanistan Polio: first case in Kabul since 2001."" BBC News. February 10, 2014.",http://www.bbc.co.uk/news/world-asia-26121732
Measles,Measles,Algeria (Adrar),26.41813,-0.60147,1/2013,87,,Epd,"Saïd, Bentouba, ""87 cas enregistrés à Adrar : Alerte à la rougeole,"" Le Quotidien D'Oran, January 29, 2013.",http://www.lequotidien-oran.com/index.php?news=5178597&archive_date=2013-01-29
Measles,Measles                                          ,Angola (Cunene),-16.4905382,14.6223476,9/2009,99,,Epd,"Ondjiva. ""99 cases of measles recorded in Cunene province."" Agency Angola Express (Menongue), August 25, 2009.","http://www.portalangop.co.ao/motix/en_us/noticias/saude/2009/7/35/cases-measles-recorded-Cunene-province,b0a0f63c-fa78-4119-a6cb-9c1f1665c83a.html"
Measles,Measles,Angola,-11.24054,17.84369,1/2009-12/2009,2657,,Epd,"William j. Moss, Diane E. Griffin. ʺMeasles.ʺ The Lancet. January 14, 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext
Measles,Measles,Angola,-11.12097,17.80746,1/2010-12/2010,1679,,Epd,"William j. Moss, Diane E. Griffin. ʺMeasles.ʺ The Lancet. January 14, 2012",http://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)62352-5/fulltext
Measles,Measles,Angola,-13.000532,17.87389,8/2011,16,8,Clst,"Kubango, Kuando. ""Brote de sarampión mata ocho niños en Cuito Cuanavale."" Agency Angola Express (Menongue), August 23, 2011.","http://www.portalangop.co.ao/motix/es_es/noticias/saude/2011/7/34/Brote-sarampion-mata-ocho-ninos-Cuito-Cuanavale,9cb8daf8-026d-4c42-a118-abed6fc96903.html"
Measles,Measles,Angola (Kuando Kubango),-16.41808,18.80762,9/2012-10/2012,320,,Epd,"Measles outbreak kills 10 in less than a month in Kuando Kubango. Agency Angola Press. October 11, 2012.","http://www.portalangop.co.ao/motix/en_us/noticias/saude/2012/9/41/Measles-outbreak-kills-less-than-month-Kuando-Kubango,e9fbf016-3095-4104-9544-9faf68a81c75.html"
Measles,Measles,Angola (Huila),-14.92806,14.65878,10/2012,35,5,Clst,"Measles kills five children in Chibia, Agencia AngolaPress, October 19, 2012.","http://www.portalangop.co.ao/motix/en_us/noticias/saude/2012/9/42/Measles-kills-five-children-Chibia,e4cbb12c-f641-4280-b910-3e1f71e33eaf.html"
Measles,Measles,Angola (Cunene),-16.4905382,14.6223476,11/2012,19,,Clst,"""Plus de 10 cas de rougeole enregistrés au cours de 48 heures,"" Angola Press, November 5, 2012.","http://www.portalangop.co.ao/motix/fr_fr/noticias/saude/2012/10/45/Plus-cas-rougeole-enregistres-cours-heures,ece01afb-2c21-4cc5-8ca0-9d0020afea01.html"
Measles,Measles,Angola (Uige),-7.17367,15.40681,6/2013,45,,Clst,"Agencia AngolaPress. ""Au moins 40 nouveaux cas de rougeole notifiés à Uíge.""June 26, 2013.  ","http://www.portalangop.co.ao/motix/fr_fr/noticias/saude/2013/5/26/moins-nouveaux-cas-rougeole-notifies-Uige,643f0885-925a-489e-afc5-fab8b7861cc3.html"
Polio,Polio,Angola,-11.236546,17.873887,2/2010,24,,2nd,"News-Medical. ""WHO says polio outbreak in Angola must be stopped to avoid 'international consequences'."" October 4, 2010.",http://www.news-medical.net/news/20101004/WHO-says-polio-outbreak-in-Angola-must-be-stopped-to-avoid-international-consequences.aspx
Polio,Polio,Angola,-13.41099,16.78711,1/2011-12/2011,5,,Clst,"Global Polio Eradication Initative. ""Case breakdown by country."" August, 2012.",http://polioeradication.org/Dataandmonitoring/Poliothisweek.aspx
Measles,Measles,Argentina,-34.60372,-58.38159,5/2012,1,,Isl,"Measles Outbreak Alert Issued by Ministry of Health. Diario de Cuyo. May 26, 2012.",http://www.diariodecuyo.com.ar/home/new_noticia.php?noticia_id=520602
Measles,Measles,Argentina,-34.60372,-58.38159,6/2013,1,,Isl,"Reporte Epidemiológico de Córdoba, Argentina. June 12, 2013.",http://www.vetcomunicaciones.com.ar/page/articulos/id/135/title/Reporte-Epidemiol%C3%83%C2%B3gico-de-C%C3%83%C2%B3rdoba.-Argentina
Whooping Cough,Whooping Cough,Argentina,-38.4161,-63.61667,1/2012-5/2012,597,,Epd,"Fernandez, Marcela. ""En 2012, crecieron 90% los casos de tos convulsa."" LaVoz Ciudadanos. May 15, 2012.",http://www.lavoz.com.ar/ciudadanos/2012-crecieron-90-casos-tos-convulsa
Whooping Cough,Whooping Cough,Argentina (Mendoza),-32.89018,-68.84405,1/2012-7/2012,71,,Epd,"Registran brote de tos convulsa, Diariouno, July 1, 2012.",http://www.diariouno.com.ar/edimpresa/2012/07/01/nota304019.html
Whooping Cough,Whooping Cough,Australia (Gladstone Region),-23.805604,151.254637,10/2010,65,,Epd,"Downey, Kelli. ""Whooping cough outbreak sweeps region."" The Observer, October 20, 2010.",http://www.gladstoneobserver.com.au/story/2010/10/20/outbreak-poses-a-risk-to-babies/
Whooping Cough,Whooping Cough,Australia (New South Wales),-33.28462,144.31641,1/2011-12/2011,13046,,Epd,"NSW Government, ""Pertussis notifications in NSW residents,"" August 6, 2012.",http://www.health.nsw.gov.au/data/diseases/pertussis.asp
Whooping Cough,Whooping Cough,Australia (Western Australia),-26.71617,122.10205,1/2011-12/2011,3597,,Epd,"Campbell, Linda. ""Whooping cough cases on the rise."" IEWY News, January 3, 2012;
 
UPDATE: Recent studies show that the rise in whooping cough in Australia in 2011 may have been the result of a new vaccine resistant strain of bacteria. Please refer to: http://www.abc.net.au/news/2012-03-21/whooping-cough-strain-27breaking-through-vaccines27/3902762/?site=newcastle",http://www.iewy.com/39153-whooping-cough-cases-on-the-rise.html
Whooping Cough,Whooping Cough,Australia,-20.91757,142.7028,1/2012-4/2012,1505,,Epd,"King, Rhianna. ""Whooping cough cases soar across WA."" WA Today, April 17, 2012.",http://www.watoday.com.au/wa-news/whooping-cough-cases-soar-across-wa-20120416-1x3co.html
Whooping Cough,Whooping Cough,Australia (New South Wales),-33.13755,146.42578,1/2012-8/2012,3722,,Epd,"NSW Government, ""Pertussis notifications in NSW residents,"" August 6, 2012.",http://www.health.nsw.gov.au/data/diseases/pertussis.asp
Measles,Measles                                       ,Australia (Victoria)             ,-38.471308,140.785153,2/2009,18,,Clst,"Miller, Nick. ""Warning over biggest measles outbreak in years."" The Age, February 4, 2009.",http://www.theage.com.au/national/warning-over-biggest-measles-outbreak-in-years-20090204-7xjl.html
Measles,Measles,Austria (Styria),47.264901,14.89393,3/2009,37,,2nd,"Kasper, S. ""Measles outbreak in Styria, Austria, March-May 2009."" Eurosurveillance 14, no. 40 (2009).",http://www.eurosurveillance.org/ViewArticle.aspx?ArticleId=19347
Measles,Measles,Australia (Western Australia),-27.672817,121.62831,6/2010,2,,2nd,"ABC News (Queensland), ""Alert issued over possible measles infection."" June 7, 2010.",http://www.abc.net.au/news/stories/2010/06/07/2920169.htm
Measles,Measles,Australia (Western Australia),-27.67282,121.62831,1/2014,2,,Isl,"WAtoday.com.au ""Measles warning in WA after two more cases."" January 20, 2014.",http://www.watoday.com.au/wa-news/measles-warning-in-wa-after-two-more-cases-20140120-314wd.html
Measles,Measles,Australia (New South Wales),-30.253218,146.921099,9/2010,1,,Isl,Measles notifications in NSW residents - NSW Department of Health. NSW Ministry of Health - NSW Health.,http://www.health.nsw.gov.au/data/diseases/measles.asp
Measles,Measles,Australia (Queensland),-24.917574,145.902796,9/2010,2,,2nd,"Bedo, Stephanie. ""Coast measles outbreak sparks concern."" Goldcoast (Gold Coast), March 21, 2011.",http://www.goldcoast.com.au/article/2011/03/21/300795_gold-coast-news.html
Measles,Measles,Australia (Queensland) ,-20.91757,142.7028,1/2014,1,,Isl,"Amy Remkis. ""Another measles case in Brisbane."" brisbanetimes.com.au January 26, 2014.",http://www.brisbanetimes.com.au/queensland/another-measles-case-in-brisbane-20140126-31grc.html
Measles,Measles,Australia,-22.73591,140.018765,1/2011,3,,2nd,"Notes from the Field : Multiple Cases of Measles After Exposure During Air Travel --- Australia and New Zealand, January 2011 . Centers for Disease Control and Prevention.",http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6025a4.htm?s_cid=mm6025a4_e&source=govdelivery
Measles,Measles,Australia (Brisbane),-27.470933,153.023502,1/2011,1,,Isl,"Measles outbreak fear hits Brisbane. Brisbane Times - Brisbane News, Queensland News & World News.",http://www.brisbanetimes.com.au/queensland/measles-outbreak-fear-hits-brisbane-20110126-1a4z6.html
Measles,Measles,Australia (Melbourne),-37.813187,144.96298,1/2011,1,,Isl,"TVNZ (Melbourne), ""Plane passengers potentially exposed to measles,"" January 11, 2011.",http://tvnz.co.nz/health-news/plane-passengers-potentially-exposed-measles-3996156
Measles,Measles,Australia (Blacktown),-33.769464,150.908493,1/2011-3/2011,14,,Clst,"Soon, Nick . ""Warning on measles outbreak in Blacktown local government area."" Blacktown Sun , March 11, 2011.",http://www.blacktownsun.com.au/news/local/news/general/warning-on-measles-outbreak-in-blacktown-local-government-area/2100834.aspx
Measles,Measles,Australia (Victoria),-37.471308,141.785153,1/2011-3/2011,16,,2nd,"Van Den Berg, Lucie . ""Measles outbreak sparks vaccination warning from health authorities."" Herald Sun (Melbourne), February 17, 2011.",http://www.heraldsun.com.au/news/victoria/measles-outbreak-sparks-vaccination-warning-from-health-authorities/story-e6frf7kx-1226007427425
Measles,Measles,Australia (Queensland),-23.917574,141.702796,1/2011-4/2011,12,,Clst,"Miles, Janelle. ""Be alert for measles outbreak."" Courier Mail (Queensland), April 20, 2011.",http://www.couriermail.com.au/lifestyle/be-alert-for-measles-outbreak/story-e6frer4f-1226042399293
Measles,Measles,Australia (New South Wales),-32.253218,146.921099,3/2011,29,,Clst,Measles alert - Make sure you are vaccinated - NSW Department of Health. NSW Ministry of Health - NSW Health.,http://www.health.nsw.gov.au/news/2011/20110324_00.html
Measles,Measles,Australia (New South Wales),-31.25322,146.9211,1/2014,10,,Clst,"The Northen Star. ""Protect yourself from measles outbreak."" January 30, 2014. ",http://www.northernstar.com.au/news/protect-yourself-from-measles-outbreak/2154440/
Measles,Measles,Australia (Queensland),-20.917574,142.702796,3/2011,1,,Isl,"AAP. ""Measles scare at Gold Coast tourist spots."" Courier Mail (Queensland), March 4, 2011.",http://www.couriermail.com.au/news/queensland/measles-scare-at-gold-coast-tourist-spots/story-e6freoof-1226016025033?from=public_rss
Measles,Measles,Australia (Victoria),-35.471308,144.785153,4/2011,4,,Clst,"ABC News (Queensland), ""Health department issues measles alert."" April 18, 2011.",http://www.abc.net.au/news/2011-04-16/health-department-issues-measles-alert/2613012?section=justin
Measles,Measles,Australia (South),-29.532804,145.491477,7/2011,1,,Isl,"AAP. ""Measles case sparks health alert."" Courier Mail (Queensland), July 15, 2011.",http://www.couriermail.com.au/news/breaking-news/measles-case-sparks-health-alert/story-e6freonf-1226095484398
Measles,Measles,Australia (Adelaide),-34.928621,138.599959,7/2011,1,,Isl,"Courier Mail (South Australia ), ""Measles case sparks health alert ,"" July 15, 2011.",http://www.couriermail.com.au/news/breaking-news/measles-case-sparks-health-alert/story-e6freonf-1226095484398
Measles,Measles,Australia (Northern Territory),-19.491411,132.55096,8/2011,1,,Isl,"Nightingale, Tom. ""Sick backpacker sparks Red Centre measles alert."" Sick backpacker sparks Red Centre measles alert (Alice Springs), August 18, 2011.",http://www.abc.net.au/news/2011-08-18/20110818alice-measles-alert/2845316
Measles,Measles,Australia (Northern Territory),-19.49141,132.55096,2/2014,19,,Clst,"ProMed Mail. ""Measles Update 06."" February 9, 2014.",http://www.promedmail.org/
Measles,Measles,Australia (South Australia),-30.000232,136.209155,8/2011,2,,2nd,"Pengelley, Jill. ""New measles cases prompt warning."" AdelaideNow (Queensland), August 11, 2011.",http://www.adelaidenow.com.au/news/south-australia/new-measles-cases-prompt-warning/story-e6frea83-1226113247592
Measles,Measles,Australia (Australian Capital Territory),-35.47347,149.01237,11/2011,12,,Clst,"Thorpe, Clarissa . ""ACT measles outbreak reaches 12."" ABC News, November 30, 2011.",http://www.abc.net.au/news/2011-11-29/act-measles-outbreak-reaches-12/3702420?section=act
Measles,Measles,Australia (Adelaide),-34.92113,138.58377,12/2011,1,,Isl,"News.com.au. ""Woman with Measles Sparks SA Health Alert."" December 19, 2011.",http://www.news.com.au/teenager-with-measles-sparks-sa-health-alert/story-e6frea83-1226226045534
